name,year,imdb_id
The Shawshank Redemption,1994,tt0111161
The Godfather,1972,tt0068646
The Godfather: Part II,1974,tt0071562
The Dark Knight,2008,tt0468569
12 Angry Men,1957,tt0050083
Schindler's List,1993,tt0108052
The Lord of the Rings: The Return of the King,2003,tt0167260
Pulp Fiction,1994,tt0110912
"The Good, the Bad and the Ugly",1966,tt0060196
The Lord of the Rings: The Fellowship of the Ring,2001,tt0120737
Fight Club,1999,tt0137523
Forrest Gump,1994,tt0109830
Inception,2010,tt1375666
The Lord of the Rings: The Two Towers,2002,tt0167261
Star Wars: Episode V - The Empire Strikes Back,1980,tt0080684
The Matrix,1999,tt0133093
Goodfellas,1990,tt0099685
One Flew Over the Cuckoo's Nest,1975,tt0073486
Seven Samurai,1954,tt0047478
Se7en,1995,tt0114369
The Silence of the Lambs,1991,tt0102926
City of God,2002,tt0317248
Life Is Beautiful,1997,tt0118799
It's a Wonderful Life,1946,tt0038650
Star Wars: Episode IV - A New Hope,1977,tt0076759
Saving Private Ryan,1998,tt0120815
Interstellar,2014,tt0816692
Spirited Away,2001,tt0245429
The Green Mile,1999,tt0120689
Parasite,2019,tt6751668
Léon: The Professional,1994,tt0110413
Hara-Kiri,1962,tt0056058
The Pianist,2002,tt0253474
Terminator 2: Judgment Day,1991,tt0103064
The Usual Suspects,1995,tt0114814
Back to the Future,1985,tt0088763
Psycho,1960,tt0054215
The Lion King,1994,tt0110357
Modern Times,1936,tt0027977
American History X,1998,tt0120586
Grave of the Fireflies,1988,tt0095327
City Lights,1931,tt0021749
Whiplash,2014,tt2582802
Gladiator,2000,tt0172495
The Departed,2006,tt0407887
The Intouchables,2011,tt1675434
The Prestige,2006,tt0482571
Casablanca,1942,tt0034583
Once Upon a Time in the West,1968,tt0064116
Rear Window,1954,tt0047396
Cinema Paradiso,1988,tt0095765
Alien,1979,tt0078748
Apocalypse Now,1979,tt0078788
Memento,2000,tt0209144
Indiana Jones and the Raiders of the Lost Ark,1981,tt0082971
The Great Dictator,1940,tt0032553
The Lives of Others,2006,tt0405094
Django Unchained,2012,tt1853728
Paths of Glory,1957,tt0050825
Sunset Blvd.,1950,tt0043014
WALL·E,2008,tt0910970
Avengers: Infinity War,2018,tt4154756
Witness for the Prosecution,1957,tt0051201
The Shining,1980,tt0081505
Spider-Man: Into the Spider-Verse,2018,tt4633694
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,tt0057012
Princess Mononoke,1997,tt0119698
Oldboy,2003,tt0364569
Joker,2019,tt7286456
Your Name.,2016,tt5311514
The Dark Knight Rises,2012,tt1345836
Coco,2017,tt2380307
Aliens,1986,tt0090605
Once Upon a Time in America,1984,tt0087843
Capernaum,2018,tt8267604
Avengers: Endgame,2019,tt4154796
Das Boot,1981,tt0082096
High and Low,1963,tt0057565
3 Idiots,2009,tt1187043
American Beauty,1999,tt0169547
Toy Story,1995,tt0114709
Amadeus,1984,tt0086879
Braveheart,1995,tt0112573
Hamilton,2020,tt8503618
Inglourious Basterds,2009,tt0361748
Good Will Hunting,1997,tt0119217
Star Wars: Episode VI - Return of the Jedi,1983,tt0086190
2001: A Space Odyssey,1968,tt0062622
Reservoir Dogs,1992,tt0105236
M,1931,tt0022100
Vertigo,1958,tt0052357
Like Stars on Earth,2007,tt0986264
Come and See,1985,tt0091251
Citizen Kane,1941,tt0033467
The Hunt,2012,tt2106476
Requiem for a Dream,2000,tt0180093
Singin' in the Rain,1952,tt0045152
North by Northwest,1959,tt0053125
Eternal Sunshine of the Spotless Mind,2004,tt0338013
Bicycle Thieves,1948,tt0040522
Ikiru,1952,tt0044741
Lawrence of Arabia,1962,tt0056172
The Kid,1921,tt0012349
Full Metal Jacket,1987,tt0093058
Dangal,2016,tt5074352
The Apartment,1960,tt0053604
Incendies,2010,tt1255953
The Father,2020,tt10272386
Double Indemnity,1944,tt0036775
A Clockwork Orange,1971,tt0066921
Metropolis,1927,tt0017136
Taxi Driver,1976,tt0075314
Pather Panchali,1955,tt0048473
A Separation,2011,tt1832382
The Sting,1973,tt0070735
Scarface,1983,tt0086250
Snatch,2000,tt0208092
1917,2019,tt8579674
Amélie,2001,tt0211915
To Kill a Mockingbird,1962,tt0056592
Toy Story 3,2010,tt0435761
For a Few Dollars More,1965,tt0059578
Jai Bhim,2021,tt15097216
Up,2009,tt1049413
Indiana Jones and the Last Crusade,1989,tt0097576
Heat,1995,tt0113277
L.A. Confidential,1997,tt0119488
Yojimbo,1961,tt0055630
Ran,1985,tt0089881
Die Hard,1988,tt0095016
Rashomon,1950,tt0042876
Green Book,2018,tt6966692
Downfall,2004,tt0363163
Monty Python and the Holy Grail,1975,tt0071853
All About Eve,1950,tt0042192
Some Like It Hot,1959,tt0053291
Batman Begins,2005,tt0372784
Unforgiven,1992,tt0105695
Children of Heaven,1997,tt0118849
Howl's Moving Castle,2004,tt0347149
The Wolf of Wall Street,2013,tt0993846
Judgment at Nuremberg,1961,tt0055031
The Great Escape,1963,tt0057115
There Will Be Blood,2007,tt0469494
Casino,1995,tt0112641
The Treasure of the Sierra Madre,1948,tt0040897
Pan's Labyrinth,2006,tt0457430
A Beautiful Mind,2001,tt0268978
The Secret in Their Eyes,2009,tt1305806
Raging Bull,1980,tt0081398
Dersu Uzala,1975,tt0071411
Chinatown,1974,tt0071315
My Neighbor Totoro,1988,tt0096283
"Lock, Stock and Two Smoking Barrels",1998,tt0120735
Shutter Island,2010,tt1130884
The Gold Rush,1925,tt0015864
No Country for Old Men,2007,tt0477348
Dial M for Murder,1954,tt0046912
The Seventh Seal,1957,tt0050976
The Thing,1982,tt0084787
"Three Billboards Outside Ebbing, Missouri",2017,tt5027774
Dune,2021,tt1160419
The Elephant Man,1980,tt0080678
The Sixth Sense,1999,tt0167404
Klaus,2019,tt4729430
Wild Strawberries,1957,tt0050986
The Third Man,1949,tt0041959
The Truman Show,1998,tt0120382
Jurassic Park,1993,tt0107290
V for Vendetta,2005,tt0434409
Memories of Murder,2003,tt0353969
Blade Runner,1982,tt0083658
Trainspotting,1996,tt0117951
Inside Out,2015,tt2096673
The Bridge on the River Kwai,1957,tt0050212
Fargo,1996,tt0116282
Warrior,2011,tt1291584
Finding Nemo,2003,tt0266543
Kill Bill: Vol. 1,2003,tt0266697
Gone with the Wind,1939,tt0031381
Tokyo Story,1953,tt0046438
On the Waterfront,1954,tt0047296
My Father and My Son,2005,tt0476735
Wild Tales,2014,tt3011894
Stalker,1979,tt0079944
The Deer Hunter,1978,tt0077416
Z,1969,tt0065234
Prisoners,2013,tt1392214
The Grand Budapest Hotel,2014,tt2278388
The General,1926,tt0017925
Gran Torino,2008,tt1205489
Sherlock Jr.,1924,tt0015324
Persona,1966,tt0060827
Before Sunrise,1995,tt0112471
Mary and Max,2009,tt0978762
Catch Me If You Can,2002,tt0264464
Mr. Smith Goes to Washington,1939,tt0031679
In the Name of the Father,1993,tt0107207
Room,2015,tt3170832
Barry Lyndon,1975,tt0072684
Gone Girl,2014,tt2267998
Hacksaw Ridge,2016,tt2119532
The Passion of Joan of Arc,1928,tt0019254
Andhadhun,2018,tt8108198
Ford v Ferrari,2019,tt1950186
12 Years a Slave,2013,tt2024544
